State,District,Year,Season,Crop,AreaHectares,ProductionTonnes,YieldKgPerHa,IrrigationType,SoilType,FarmerBeneficiaries,MSP,MarketPrice,CropInsuranceCoverage,FertilizerUsageKg,WaterUsageLitres,Status
Jammu & Kashmir,Jammu District 3,2020,Zaid,Tomato,46147,88002,1907,Rain-fed,Red,20584,3711,4395,57.5,141,269542,Harvested
Jammu & Kashmir,Jammu District 8,2018,Kharif,Jowar,31281,21521,688,Drip,Laterite,8619,849,822,76.5,126,505282,Harvested
Madhya Pradesh,Madhya District 1,2020,Kharif,Rice,49127,32129,654,Canal,Arid,26016,1162,1082,23.0,186,186939,Standing
Bihar,Bihar District 8,2022,Kharif,Tea,14001,13160,940,Drip,Alluvial,4663,3724,3502,69.6,220,217257,Harvested
Meghalaya,Meghalaya District 8,2021,Rabi,Jowar,17191,15506,902,Rain-fed,Arid,2632,2821,2534,70.7,109,119367,Standing
Odisha,Odisha District 1,2021,Rabi,Jowar,41052,67407,1642,Tube Well,Black,23469,2577,2275,23.2,97,462316,Standing
Karnataka,Karnataka District 6,2020,Zaid,Sugarcane,48010,134379,2799,Tube Well,Arid,6600,985,1197,69.0,183,103880,Harvested
Gujarat,Gujarat District 8,2018,Kharif,Tea,9264,5901,637,Rain-fed,Laterite,2228,3113,3717,55.5,244,111113,Harvested
Delhi,Delhi District 2,2020,Zaid,Bajra,31535,66412,2106,Canal,Laterite,8525,3548,3993,30.9,51,319818,Harvested
Sikkim,Sikkim District 1,2020,Kharif,Turmeric,48125,28682,596,Sprinkler,Alluvial,14528,2912,3122,38.5,139,460410,Harvested
Goa,Goa District 2,2022,Kharif,Pulses,43036,60465,1405,Drip,Alluvial,23708,1760,1752,25.0,182,287037,Standing
Odisha,Odisha District 3,2018,Zaid,Banana,8000,6064,758,Drip,Red,2593,3566,3857,47.1,117,339594,Harvested
Maharashtra,Maharashtra District 6,2022,Rabi,Sugarcane,9659,32425,3357,Drip,Forest,2800,1720,1878,41.1,165,203197,Harvested
Odisha,Odisha District 6,2019,Rabi,Maize,12679,11804,931,Drip,Alluvial,5642,1634,1842,30.7,81,371672,Harvested
Andhra Pradesh,Andhra District 8,2018,Rabi,Bajra,5192,7663,1476,Canal,Black,2940,1566,1559,38.2,242,343856,Harvested
Rajasthan,Rajasthan District 3,2019,Kharif,Tea,10334,30795,2980,Sprinkler,Alluvial,3101,2538,2232,53.6,53,177053,Harvested
Manipur,Manipur District 7,2021,Rabi,Wheat,47798,78006,1632,Drip,Laterite,5397,1836,1975,64.7,149,260805,Standing
Odisha,Odisha District 1,2023,Zaid,Onion,28217,33747,1196,Tube Well,Black,13678,3622,4167,20.1,125,313084,Harvested
Kerala,Kerala District 3,2022,Zaid,Soybean,36027,59120,1641,Rain-fed,Alluvial,15822,3508,3042,53.0,113,85675,Harvested
Chhattisgarh,Chhattisgarh District 2,2018,Kharif,Rice,38667,107880,2790,Rain-fed,Alluvial,15724,1783,1692,62.2,125,174250,Standing
Madhya Pradesh,Madhya District 2,2020,Rabi,Turmeric,41154,42759,1039,Drip,Laterite,14691,3273,4015,63.3,199,320035,Harvested
Odisha,Odisha District 7,2023,Zaid,Sunflower,45026,126252,2804,Rain-fed,Laterite,23471,1990,2423,43.5,68,453235,Standing
Delhi,Delhi District 1,2020,Rabi,Mustard,41793,36610,876,Sprinkler,Forest,15528,1302,1179,68.3,222,353452,Harvested
Ladakh,Ladakh District 3,2020,Rabi,Cotton,8167,7464,914,Drip,Red,3943,2114,1812,36.9,124,470756,Harvested
Odisha,Odisha District 4,2021,Rabi,Mango,3657,11479,3139,Rain-fed,Alluvial,701,1151,1249,65.2,168,234119,Harvested
Mizoram,Mizoram District 5,2022,Kharif,Maize,47731,125675,2633,Drip,Forest,22919,941,944,50.4,108,110844,Harvested
Madhya Pradesh,Madhya District 4,2020,Zaid,Bajra,19664,45659,2322,Tube Well,Red,6094,1665,1646,30.3,104,543789,Harvested
Goa,Goa District 2,2020,Kharif,Bajra,3549,5898,1662,Rain-fed,Alluvial,445,1264,1249,25.7,68,457057,Harvested
West Bengal,West District 5,2023,Rabi,Pulses,12888,17295,1342,Drip,Red,5021,1992,2206,37.4,84,497226,Standing
Jammu & Kashmir,Jammu District 4,2022,Zaid,Mango,43217,141406,3272,Tube Well,Forest,22669,1902,1619,78.3,187,310788,Harvested
Himachal Pradesh,Himachal District 1,2019,Rabi,Pulses,28897,15922,551,Sprinkler,Red,10436,1610,1688,25.7,139,424692,Harvested
Odisha,Odisha District 1,2021,Rabi,Potato,19070,14874,780,Drip,Red,9943,857,959,49.4,119,461563,Harvested
Chandigarh,Chandigarh District 7,2020,Rabi,Tea,37472,93567,2497,Rain-fed,Laterite,7223,3740,3689,65.6,89,123268,Harvested
Delhi,Delhi District 6,2023,Kharif,Bajra,11277,14896,1321,Drip,Alluvial,2451,1039,990,43.3,218,232635,Harvested
Uttar Pradesh,Uttar District 4,2022,Zaid,Groundnut,11785,26421,2242,Tube Well,Alluvial,6241,3556,4247,28.3,205,370895,Harvested
Tripura,Tripura District 4,2022,Kharif,Wheat,13477,17142,1272,Canal,Black,2634,1756,1728,52.8,137,56987,Harvested
Delhi,Delhi District 8,2019,Kharif,Ginger,7181,17672,2461,Tube Well,Forest,4299,2593,3066,43.3,139,358294,Harvested
Jammu & Kashmir,Jammu District 6,2018,Kharif,Groundnut,40931,56894,1390,Drip,Red,19149,2899,3584,30.3,236,506139,Harvested
Puducherry,Puducherry District 7,2023,Rabi,Mustard,30733,74742,2432,Drip,Red,9049,3556,3505,80.0,154,270377,Harvested
Uttar Pradesh,Uttar District 5,2018,Kharif,Mango,34374,26433,769,Tube Well,Forest,13399,1280,1183,70.0,84,257000,Failed
Maharashtra,Maharashtra District 7,2021,Zaid,Groundnut,7054,22777,3229,Drip,Laterite,2318,2215,2125,53.3,113,259911,Harvested
Haryana,Haryana District 2,2020,Rabi,Pulses,21935,30730,1401,Canal,Red,11813,1822,1677,23.7,208,367807,Harvested
Gujarat,Gujarat District 7,2020,Zaid,Ginger,2897,8163,2818,Canal,Red,962,2854,3392,74.1,218,499554,Failed
Uttarakhand,Uttarakhand District 1,2018,Rabi,Turmeric,11460,25280,2206,Drip,Forest,4098,1776,2166,30.9,184,357784,Harvested
Karnataka,Karnataka District 2,2018,Zaid,Cotton,16496,51780,3139,Canal,Red,7263,3682,4426,45.1,212,492143,Harvested
Rajasthan,Rajasthan District 7,2021,Zaid,Rice,2046,2414,1180,Canal,Arid,346,3456,3268,21.6,152,480433,Harvested
Bihar,Bihar District 6,2019,Kharif,Tomato,14472,33792,2335,Rain-fed,Laterite,3332,3512,3023,66.3,147,71517,Harvested
Arunachal Pradesh,Arunachal District 6,2022,Zaid,Banana,31202,64806,2077,Drip,Arid,7013,2767,2700,76.7,119,240652,Failed
West Bengal,West District 2,2018,Rabi,Sunflower,44586,81369,1825,Tube Well,Laterite,25439,3617,4513,38.0,204,367788,Harvested
Goa,Goa District 3,2023,Zaid,Bajra,38036,53592,1409,Drip,Black,17867,1894,2259,34.2,237,476288,Standing
Karnataka,Karnataka District 6,2023,Kharif,Groundnut,31455,21106,671,Rain-fed,Laterite,18804,2990,2620,31.4,143,493494,Harvested
Meghalaya,Meghalaya District 2,2019,Zaid,Mango,42636,70050,1643,Tube Well,Red,13712,2258,2672,59.9,75,311464,Failed
Nagaland,Nagaland District 8,2018,Zaid,Sunflower,49083,137726,2806,Tube Well,Black,21508,2264,2342,54.1,113,377113,Harvested
Haryana,Haryana District 2,2021,Zaid,Turmeric,14472,13039,901,Tube Well,Alluvial,2417,2241,2184,37.1,147,435620,Harvested
Ladakh,Ladakh District 4,2022,Kharif,Bajra,22145,19686,889,Sprinkler,Arid,12604,2538,3043,28.2,89,177590,Harvested
Maharashtra,Maharashtra District 2,2018,Zaid,Pulses,46525,154230,3315,Tube Well,Black,27850,3486,3186,79.0,230,529660,Standing
Tripura,Tripura District 2,2022,Rabi,Mango,45676,33434,732,Drip,Forest,22256,3324,4133,47.4,65,95437,Harvested
Chandigarh,Chandigarh District 7,2022,Kharif,Rice,43013,79875,1857,Tube Well,Alluvial,23902,2425,2133,39.4,61,87595,Harvested
Meghalaya,Meghalaya District 1,2023,Kharif,Jowar,32975,35744,1084,Drip,Forest,11970,3123,3762,20.3,107,335749,Harvested
Haryana,Haryana District 4,2021,Zaid,Wheat,48720,40973,841,Drip,Forest,8529,1948,1775,74.7,167,199862,Harvested
Puducherry,Puducherry District 2,2023,Rabi,Mustard,7229,12368,1711,Tube Well,Red,1524,1901,2272,27.8,195,308284,Harvested
West Bengal,West District 1,2018,Rabi,Sunflower,688,1664,2419,Rain-fed,Forest,261,2596,2884,70.7,168,476110,Harvested
Maharashtra,Maharashtra District 4,2022,Zaid,Rice,49548,144680,2920,Canal,Laterite,21920,2991,2619,32.0,218,487538,Failed
Andhra Pradesh,Andhra District 5,2022,Rabi,Rice,8149,12410,1523,Canal,Laterite,2195,1724,1564,25.9,130,102158,Harvested
Sikkim,Sikkim District 6,2023,Kharif,Onion,10687,6070,568,Rain-fed,Laterite,6156,876,1074,32.4,193,220469,Harvested
Delhi,Delhi District 3,2020,Zaid,Pulses,23419,13114,560,Drip,Black,9918,3117,3571,72.9,107,136464,Harvested
Chhattisgarh,Chhattisgarh District 5,2019,Zaid,Mustard,11288,37397,3313,Rain-fed,Red,2217,2275,2518,72.7,172,296778,Harvested
Karnataka,Karnataka District 2,2021,Zaid,Mustard,26772,82109,3067,Drip,Laterite,14578,2911,3414,73.3,215,311003,Harvested
Uttar Pradesh,Uttar District 2,2018,Rabi,Sugarcane,25914,59083,2280,Rain-fed,Red,3270,1404,1409,47.5,159,393398,Harvested
Andhra Pradesh,Andhra District 1,2018,Zaid,Sunflower,34275,80409,2346,Drip,Laterite,15509,3298,3437,73.7,235,257055,Harvested
Uttarakhand,Uttarakhand District 7,2023,Rabi,Sugarcane,5088,8883,1746,Sprinkler,Black,2241,1863,2005,28.4,147,304395,Harvested
Ladakh,Ladakh District 8,2020,Kharif,Maize,31534,34151,1083,Sprinkler,Black,3561,2920,2602,55.2,85,98520,Harvested
Madhya Pradesh,Madhya District 4,2020,Kharif,Banana,50018,118842,2376,Canal,Alluvial,20640,1528,1893,40.0,115,521507,Harvested
Delhi,Delhi District 1,2020,Kharif,Tomato,10143,19038,1877,Rain-fed,Red,1137,2763,2671,52.1,64,411597,Harvested
Rajasthan,Rajasthan District 2,2021,Kharif,Tomato,4532,9335,2060,Sprinkler,Arid,1939,1039,1105,41.7,190,345502,Harvested
Goa,Goa District 1,2019,Zaid,Onion,25816,75769,2935,Sprinkler,Arid,4751,954,1038,52.9,80,187414,Harvested
Kerala,Kerala District 6,2023,Zaid,Bajra,19357,13724,709,Sprinkler,Alluvial,8796,836,763,61.7,93,312943,Harvested
Jharkhand,Jharkhand District 7,2022,Kharif,Banana,30057,39104,1301,Rain-fed,Arid,17945,2014,1869,36.1,184,358987,Failed
Jammu & Kashmir,Jammu District 6,2022,Zaid,Jowar,39690,105257,2652,Sprinkler,Alluvial,5035,2509,2291,39.1,133,465284,Harvested
Telangana,Telangana District 4,2021,Zaid,Bajra,41888,109662,2618,Drip,Black,12432,956,856,68.1,186,95476,Harvested
Nagaland,Nagaland District 3,2020,Rabi,Cotton,33377,21728,651,Drip,Red,18801,1395,1620,50.4,101,82066,Harvested
Delhi,Delhi District 3,2021,Zaid,Onion,32733,104811,3202,Drip,Alluvial,6921,3273,3643,20.4,130,404168,Failed
Mizoram,Mizoram District 7,2021,Kharif,Turmeric,5287,7861,1487,Drip,Arid,1716,2547,2300,75.9,125,492061,Harvested
Andhra Pradesh,Andhra District 8,2020,Zaid,Onion,46566,147427,3166,Tube Well,Red,8020,1941,2368,46.0,117,530048,Harvested
Kerala,Kerala District 6,2022,Rabi,Cotton,35658,57159,1603,Canal,Laterite,18457,1912,1813,72.2,217,131441,Failed
Tamil Nadu,Tamil District 2,2021,Rabi,Cotton,49509,28814,582,Drip,Black,12796,3048,3435,69.0,159,463411,Harvested
Rajasthan,Rajasthan District 7,2020,Rabi,Tomato,15443,47039,3046,Canal,Black,7971,2099,2538,69.4,193,190949,Harvested
Mizoram,Mizoram District 5,2022,Kharif,Wheat,1978,3787,1915,Sprinkler,Laterite,511,3174,2739,33.7,209,250783,Failed
Arunachal Pradesh,Arunachal District 1,2021,Kharif,Cotton,829,1046,1262,Rain-fed,Arid,487,951,1082,65.3,53,215641,Harvested
Nagaland,Nagaland District 7,2022,Zaid,Wheat,21668,68709,3171,Rain-fed,Red,5967,2997,3300,69.6,55,423185,Harvested
Jammu & Kashmir,Jammu District 6,2018,Kharif,Mango,8851,20383,2303,Canal,Laterite,3173,2479,2421,54.4,73,456145,Harvested
Chhattisgarh,Chhattisgarh District 8,2023,Kharif,Ginger,45114,77009,1707,Sprinkler,Black,21995,3715,4254,62.1,244,153092,Failed
Uttar Pradesh,Uttar District 4,2022,Zaid,Groundnut,43163,21624,501,Drip,Black,12128,1885,1947,21.1,212,408772,Harvested
Gujarat,Gujarat District 4,2022,Rabi,Wheat,25022,58101,2322,Sprinkler,Arid,12588,1064,1234,74.4,171,103735,Harvested
Andhra Pradesh,Andhra District 3,2018,Rabi,Onion,4990,12889,2583,Rain-fed,Alluvial,1438,1422,1476,71.1,202,512938,Harvested
Madhya Pradesh,Madhya District 3,2023,Kharif,Tomato,35720,23325,653,Drip,Arid,14909,3588,4292,20.8,214,476203,Harvested
Jammu & Kashmir,Jammu District 6,2021,Kharif,Pulses,18950,19575,1033,Tube Well,Laterite,5149,3144,3521,55.5,120,137312,Harvested
Puducherry,Puducherry District 2,2018,Zaid,Mango,28685,96697,3371,Canal,Arid,16383,2879,3022,54.1,156,170121,Harvested
Tripura,Tripura District 5,2023,Zaid,Maize,48804,140018,2869,Tube Well,Red,16584,2022,1864,45.8,226,431280,Harvested
Mizoram,Mizoram District 8,2019,Kharif,Tea,5055,5388,1066,Sprinkler,Arid,1517,911,841,40.4,83,204849,Harvested
Sikkim,Sikkim District 4,2022,Zaid,Soybean,43412,43021,991,Sprinkler,Red,13841,2596,2581,31.3,128,231007,Harvested
Puducherry,Puducherry District 3,2020,Zaid,Onion,35955,45806,1274,Drip,Red,13185,2631,2658,57.1,78,266493,Failed
Assam,Assam District 3,2022,Kharif,Banana,2902,8302,2861,Tube Well,Alluvial,943,1673,1773,34.1,218,440155,Harvested
Andhra Pradesh,Andhra District 7,2023,Zaid,Wheat,28242,75773,2683,Canal,Black,3773,3581,3724,42.9,245,82240,Harvested
Punjab,Punjab District 4,2021,Zaid,Maize,16412,12817,781,Canal,Arid,3599,2925,3468,78.6,140,396243,Harvested
Puducherry,Puducherry District 4,2018,Zaid,Pulses,4396,11095,2524,Sprinkler,Laterite,1678,2264,2328,75.5,75,336804,Harvested
Tamil Nadu,Tamil District 3,2023,Zaid,Rice,13443,29668,2207,Drip,Laterite,3527,1860,2072,65.1,96,533682,Failed
Gujarat,Gujarat District 6,2021,Kharif,Wheat,15149,25738,1699,Tube Well,Red,2351,1282,1202,68.4,163,375010,Harvested
Haryana,Haryana District 8,2022,Kharif,Sunflower,24554,74275,3025,Tube Well,Alluvial,8730,1362,1236,50.7,172,407769,Failed
Puducherry,Puducherry District 6,2023,Zaid,Potato,15174,29407,1938,Rain-fed,Laterite,2326,2244,2658,77.8,140,536363,Harvested
Karnataka,Karnataka District 2,2021,Kharif,Maize,42433,141174,3327,Rain-fed,Alluvial,20004,1270,1198,51.2,234,278619,Standing
Gujarat,Gujarat District 6,2018,Zaid,Potato,1148,1864,1624,Sprinkler,Arid,285,2785,2725,37.3,105,460779,Harvested
Delhi,Delhi District 7,2023,Zaid,Sugarcane,34838,64763,1859,Sprinkler,Laterite,17467,3420,3408,31.3,96,280476,Harvested
Chandigarh,Chandigarh District 7,2018,Kharif,Groundnut,47485,160974,3390,Rain-fed,Arid,9797,2375,2163,57.9,58,390470,Harvested
Delhi,Delhi District 5,2023,Zaid,Wheat,9915,9577,966,Sprinkler,Alluvial,4851,900,801,53.2,76,244428,Harvested
Delhi,Delhi District 7,2023,Kharif,Cotton,46142,129520,2807,Drip,Black,24127,3722,4404,42.7,192,321915,Harvested
Arunachal Pradesh,Arunachal District 6,2021,Kharif,Potato,7729,14615,1891,Canal,Forest,797,3536,3148,23.7,50,458085,Harvested
Haryana,Haryana District 7,2019,Rabi,Mango,1631,5191,3183,Tube Well,Black,898,1777,2213,58.3,183,375700,Harvested
Himachal Pradesh,Himachal District 6,2018,Rabi,Tea,3662,8547,2334,Rain-fed,Red,796,3297,2808,20.7,108,212984,Harvested
Maharashtra,Maharashtra District 1,2018,Rabi,Mango,35523,31508,887,Canal,Black,19800,2228,2197,50.7,145,507922,Harvested
Sikkim,Sikkim District 2,2021,Zaid,Rice,35333,94127,2664,Sprinkler,Black,17039,1955,2340,32.0,97,537848,Failed
Manipur,Manipur District 1,2019,Rabi,Tea,19046,65137,3420,Canal,Red,7626,3071,3074,39.6,64,410382,Harvested
Gujarat,Gujarat District 8,2018,Rabi,Soybean,42836,100364,2343,Drip,Red,4618,2726,3214,53.7,111,535391,Harvested
Bihar,Bihar District 5,2022,Rabi,Turmeric,34388,32324,940,Drip,Black,5758,2987,2750,35.5,206,529195,Harvested
Nagaland,Nagaland District 3,2020,Zaid,Turmeric,27366,52460,1917,Rain-fed,Forest,5795,3216,2825,33.1,144,286253,Harvested
Delhi,Delhi District 7,2022,Kharif,Rice,36626,48053,1312,Canal,Black,21079,1610,1822,50.2,233,184369,Harvested
Maharashtra,Maharashtra District 3,2020,Kharif,Bajra,40272,97417,2419,Canal,Black,8087,2777,2709,68.1,223,186582,Harvested
Madhya Pradesh,Madhya District 2,2023,Kharif,Tomato,18725,46756,2497,Canal,Laterite,7672,2169,2380,75.7,117,136124,Failed
Mizoram,Mizoram District 3,2022,Rabi,Jowar,2878,3554,1235,Rain-fed,Laterite,515,3097,3307,71.5,241,150703,Harvested
Chhattisgarh,Chhattisgarh District 6,2018,Kharif,Groundnut,19559,23431,1198,Rain-fed,Black,4771,1408,1291,51.0,79,241729,Harvested
Karnataka,Karnataka District 8,2019,Zaid,Turmeric,4006,10944,2732,Rain-fed,Alluvial,782,2823,3217,20.2,96,466774,Harvested
Andhra Pradesh,Andhra District 7,2022,Rabi,Groundnut,39510,129908,3288,Canal,Forest,19026,2690,3138,46.8,223,398306,Harvested
Jammu & Kashmir,Jammu District 2,2023,Zaid,Banana,45368,90010,1984,Drip,Laterite,11323,3741,4322,61.9,88,404027,Harvested
Andhra Pradesh,Andhra District 1,2023,Rabi,Mustard,29253,90684,3100,Sprinkler,Red,9745,1320,1282,20.9,180,58910,Harvested
Jharkhand,Jharkhand District 4,2022,Zaid,Bajra,17216,32813,1906,Tube Well,Black,8986,2127,2340,64.4,112,92666,Harvested
Jammu & Kashmir,Jammu District 4,2022,Zaid,Soybean,24144,75280,3118,Sprinkler,Arid,11262,1285,1307,24.6,139,434956,Harvested
Mizoram,Mizoram District 4,2022,Kharif,Sugarcane,42981,67695,1575,Tube Well,Red,24835,3232,3166,71.8,142,436218,Failed
West Bengal,West District 2,2019,Zaid,Tea,7208,4973,690,Rain-fed,Red,4239,2924,3178,73.2,165,273402,Harvested
Meghalaya,Meghalaya District 6,2022,Zaid,Tea,28734,55715,1939,Canal,Laterite,7467,1521,1355,41.1,170,400705,Harvested
Haryana,Haryana District 1,2020,Zaid,Rice,9535,11708,1228,Rain-fed,Arid,4379,2465,2268,58.6,140,291226,Harvested
Sikkim,Sikkim District 7,2020,Kharif,Banana,5579,19247,3450,Rain-fed,Alluvial,2606,3636,3632,41.0,164,422105,Failed
Jammu & Kashmir,Jammu District 5,2022,Kharif,Ginger,40286,139711,3468,Sprinkler,Laterite,7065,2958,3643,41.8,91,293250,Standing
Puducherry,Puducherry District 8,2019,Kharif,Mustard,36901,21328,578,Drip,Black,21407,1326,1402,56.1,147,509628,Harvested
Goa,Goa District 5,2022,Kharif,Tea,7281,23000,3159,Sprinkler,Red,1118,3064,2742,38.5,120,445394,Harvested
Madhya Pradesh,Madhya District 2,2022,Kharif,Tea,11888,17392,1463,Canal,Arid,2590,1960,2308,33.3,246,315025,Harvested
Sikkim,Sikkim District 8,2023,Rabi,Potato,41744,96136,2303,Rain-fed,Alluvial,8970,2658,2499,22.2,62,305418,Harvested
Karnataka,Karnataka District 7,2018,Kharif,Mango,10560,33306,3154,Sprinkler,Black,3626,3299,3790,64.1,223,257200,Harvested
Manipur,Manipur District 4,2022,Rabi,Onion,13012,16317,1254,Canal,Red,7121,3256,2969,35.7,194,273604,Harvested
Haryana,Haryana District 5,2018,Rabi,Banana,1805,3091,1713,Drip,Arid,932,3182,3177,76.7,223,172442,Harvested
Haryana,Haryana District 1,2021,Rabi,Mango,16535,27415,1658,Canal,Black,4477,1210,1232,21.8,225,542435,Harvested
West Bengal,West District 1,2021,Rabi,Banana,33107,39496,1193,Tube Well,Red,7120,2424,2393,78.8,145,290105,Harvested
Goa,Goa District 8,2022,Rabi,Rice,39036,75925,1945,Sprinkler,Forest,8328,1826,1824,43.3,52,173496,Harvested
Odisha,Odisha District 4,2021,Rabi,Sugarcane,18555,42305,2280,Canal,Black,10452,2512,2742,30.5,164,101237,Harvested
Chhattisgarh,Chhattisgarh District 6,2021,Kharif,Turmeric,42048,63786,1517,Sprinkler,Alluvial,21220,822,844,44.9,154,104473,Harvested
Rajasthan,Rajasthan District 2,2022,Zaid,Sunflower,5631,6126,1088,Drip,Black,3057,1606,1952,36.5,164,433832,Harvested
Telangana,Telangana District 3,2020,Rabi,Maize,26495,89288,3370,Drip,Black,10157,1689,1738,51.1,112,268624,Harvested
Goa,Goa District 8,2018,Rabi,Bajra,21839,18519,848,Tube Well,Laterite,3707,3768,3584,51.7,68,95232,Harvested
Sikkim,Sikkim District 8,2019,Kharif,Rice,20850,24832,1191,Tube Well,Alluvial,5180,1109,977,51.0,149,289026,Standing
Rajasthan,Rajasthan District 8,2018,Kharif,Soybean,34386,20390,593,Canal,Arid,4723,1811,1944,75.7,87,58350,Harvested
Gujarat,Gujarat District 6,2021,Zaid,Potato,5976,15573,2606,Canal,Laterite,681,3642,3655,23.8,180,429315,Harvested
Chhattisgarh,Chhattisgarh District 5,2022,Zaid,Onion,21391,12321,576,Rain-fed,Arid,11413,2915,3197,68.2,164,465901,Standing
Uttar Pradesh,Uttar District 5,2020,Zaid,Turmeric,33827,76990,2276,Drip,Alluvial,16458,3619,3405,68.1,93,259603,Harvested
Chhattisgarh,Chhattisgarh District 4,2023,Rabi,Ginger,45227,127540,2820,Tube Well,Forest,13307,3293,3386,26.9,99,298130,Harvested
Himachal Pradesh,Himachal District 8,2020,Zaid,Wheat,45350,40044,883,Drip,Laterite,17275,2235,2600,58.4,128,524006,Harvested
Delhi,Delhi District 2,2018,Rabi,Wheat,13290,7203,542,Canal,Laterite,6978,3428,3647,61.2,113,55075,Standing
Nagaland,Nagaland District 7,2018,Rabi,Rice,13977,25466,1822,Canal,Arid,6502,892,855,70.9,96,176500,Harvested
Manipur,Manipur District 1,2023,Kharif,Mango,883,1096,1242,Sprinkler,Alluvial,171,3396,3334,23.0,140,138249,Harvested
West Bengal,West District 1,2021,Rabi,Tea,37631,67923,1805,Rain-fed,Laterite,7804,1900,2289,54.0,110,85120,Standing
Chandigarh,Chandigarh District 5,2019,Rabi,Bajra,23259,24282,1044,Rain-fed,Arid,13444,2767,3391,60.7,99,273045,Harvested
Nagaland,Nagaland District 7,2021,Rabi,Pulses,39711,113891,2868,Tube Well,Forest,15067,2128,2330,79.2,227,436902,Harvested
Bihar,Bihar District 8,2022,Rabi,Maize,49625,30866,622,Sprinkler,Alluvial,15797,2414,2361,39.2,65,103649,Harvested
Haryana,Haryana District 4,2018,Zaid,Rice,16289,39370,2417,Canal,Forest,4481,1514,1828,70.6,196,204878,Harvested
Jammu & Kashmir,Jammu District 1,2020,Rabi,Potato,13027,33961,2607,Rain-fed,Arid,2867,2318,2862,60.4,161,229250,Harvested
Tripura,Tripura District 7,2023,Rabi,Onion,43468,126883,2919,Rain-fed,Forest,25177,810,906,28.5,85,223804,Harvested
Delhi,Delhi District 1,2020,Rabi,Wheat,14811,50268,3394,Tube Well,Laterite,1599,3732,3648,39.8,199,336369,Standing
Maharashtra,Maharashtra District 3,2019,Zaid,Pulses,39594,121316,3064,Canal,Laterite,21670,829,808,79.0,210,224880,Harvested
Ladakh,Ladakh District 6,2018,Zaid,Groundnut,27823,56007,2013,Drip,Arid,10918,2817,2868,55.0,91,323834,Failed
Manipur,Manipur District 4,2019,Rabi,Mango,33875,53319,1574,Sprinkler,Arid,11926,3647,3423,76.8,231,388111,Standing
Karnataka,Karnataka District 2,2018,Zaid,Bajra,44874,131211,2924,Canal,Alluvial,6965,2094,2303,62.2,79,94590,Harvested
Arunachal Pradesh,Arunachal District 1,2020,Kharif,Tea,23629,31001,1312,Tube Well,Red,9967,3316,3181,30.2,72,105365,Failed
West Bengal,West District 2,2021,Kharif,Groundnut,33280,65162,1958,Drip,Forest,18486,2407,2531,66.5,119,75865,Harvested
Goa,Goa District 2,2022,Kharif,Bajra,22051,72327,3280,Drip,Red,11400,3590,4340,69.3,230,487526,Harvested
Andhra Pradesh,Andhra District 3,2019,Kharif,Sunflower,12729,20710,1627,Tube Well,Alluvial,5407,2735,3248,68.9,93,288043,Harvested
Chandigarh,Chandigarh District 2,2021,Kharif,Tea,18817,30031,1596,Tube Well,Alluvial,9005,1853,2088,21.8,98,134033,Harvested
Chandigarh,Chandigarh District 6,2018,Rabi,Bajra,34210,32567,952,Tube Well,Alluvial,7994,2009,2018,40.9,194,440664,Harvested
Meghalaya,Meghalaya District 7,2022,Rabi,Potato,24556,38921,1585,Rain-fed,Forest,4958,1778,1618,38.0,78,276026,Standing
Uttarakhand,Uttarakhand District 8,2022,Kharif,Tomato,9357,30120,3219,Drip,Black,2888,2423,2755,33.6,199,396756,Failed
Jharkhand,Jharkhand District 6,2021,Zaid,Sunflower,48996,161490,3296,Rain-fed,Arid,28238,1101,1368,34.3,50,374395,Standing
Haryana,Haryana District 5,2021,Kharif,Sugarcane,5153,8605,1670,Canal,Forest,1231,898,906,22.9,104,521832,Harvested
Puducherry,Puducherry District 4,2022,Zaid,Rice,47668,24263,509,Rain-fed,Alluvial,14792,1331,1443,32.4,117,417163,Harvested
Mizoram,Mizoram District 7,2020,Rabi,Bajra,20070,56497,2815,Sprinkler,Forest,6567,2173,2299,44.3,101,233211,Harvested
Puducherry,Puducherry District 2,2021,Kharif,Mustard,10203,26772,2624,Canal,Alluvial,3681,2939,2748,46.6,233,366361,Harvested
Assam,Assam District 2,2021,Rabi,Tea,47935,133594,2787,Tube Well,Laterite,27235,3056,3723,34.0,174,170004,Harvested
Chandigarh,Chandigarh District 6,2021,Kharif,Turmeric,43039,51603,1199,Drip,Forest,12033,1598,1494,69.7,110,494896,Harvested
Haryana,Haryana District 6,2019,Rabi,Ginger,10965,20175,1840,Canal,Laterite,3182,2809,2820,22.4,239,541131,Harvested
Rajasthan,Rajasthan District 2,2021,Kharif,Potato,32713,58490,1788,Drip,Red,3845,1242,1474,78.1,73,185294,Harvested
Manipur,Manipur District 3,2019,Zaid,Maize,2868,5113,1783,Rain-fed,Red,485,2770,2898,78.1,240,134828,Harvested
Odisha,Odisha District 5,2019,Kharif,Ginger,10096,13447,1332,Rain-fed,Arid,4214,903,871,41.9,239,97776,Harvested
Puducherry,Puducherry District 8,2018,Kharif,Cotton,29891,66955,2240,Drip,Forest,10700,1678,1603,52.8,50,465030,Failed
Arunachal Pradesh,Arunachal District 4,2023,Rabi,Bajra,38742,51061,1318,Rain-fed,Forest,20057,3281,2838,28.2,109,318190,Harvested
