State,District,Year,Quarter,Disease,Cases,Deaths,CFR,Hospitals,Beds,Doctors,Nurses,HealthFacility,VaccinationCoverage,SanitationCoverage,Status
Bihar,Bihar District 7,2018,Q3,Kala-azar,1354,43,3.18,53,1030,491,597,Primary Health Centre,79.6,67.8,Contained
Gujarat,Gujarat District 1,2020,Q1,Diarrhoea,2151,60,2.79,38,913,211,553,Community Health Centre,77.3,73.5,Contained
Jammu & Kashmir,Jammu District 5,2022,Q4,Malaria,8567,170,1.98,52,1315,338,382,Community Health Centre,81.8,71.0,Active
Manipur,Manipur District 6,2019,Q1,Chikungunya,4662,204,4.38,27,299,79,165,Urban PHC,67.7,42.4,Active
Odisha,Odisha District 8,2020,Q3,Tuberculosis,7881,11,0.14,49,949,256,472,Primary Health Centre,62.1,67.4,Active
Sikkim,Sikkim District 5,2020,Q3,Malaria,5700,77,1.35,50,674,220,358,Urban PHC,87.8,46.2,Contained
Assam,Assam District 2,2021,Q1,Tuberculosis,7779,69,0.89,22,404,200,385,Urban PHC,91.1,41.2,Contained
Tamil Nadu,Tamil District 4,2018,Q4,Japanese Encephalitis,3718,177,4.76,41,1105,405,909,Community Health Centre,64.5,79.1,Contained
Assam,Assam District 1,2018,Q3,Japanese Encephalitis,6328,11,0.17,14,176,45,99,Sub-Centre,69.0,60.0,Active
Andhra Pradesh,Andhra District 7,2021,Q1,Malaria,6988,228,3.26,7,199,23,28,District Hospital,91.7,46.4,Active
Kerala,Kerala District 1,2022,Q2,Kala-azar,5950,75,1.26,34,706,255,535,District Hospital,92.2,50.0,Active
Ladakh,Ladakh District 6,2021,Q4,Hepatitis B,7462,94,1.26,13,255,29,73,Sub-Centre,59.5,78.6,Contained
Mizoram,Mizoram District 5,2020,Q4,Dengue,2414,41,1.70,35,591,272,378,Community Health Centre,81.6,57.0,Contained
Uttar Pradesh,Uttar District 1,2023,Q3,Japanese Encephalitis,9084,79,0.87,33,598,182,214,District Hospital,69.5,78.6,Active
Karnataka,Karnataka District 7,2021,Q3,Typhoid,8630,143,1.66,23,290,131,201,Urban PHC,87.7,47.7,Active
Uttar Pradesh,Uttar District 2,2019,Q4,Chikungunya,7616,45,0.59,49,722,112,268,Sub-Centre,65.9,50.5,Contained
Delhi,Delhi District 5,2021,Q1,Japanese Encephalitis,4984,28,0.56,38,493,215,593,Primary Health Centre,69.4,55.8,Active
Ladakh,Ladakh District 8,2023,Q4,Dengue,6244,175,2.80,22,646,188,317,Community Health Centre,77.3,78.8,Contained
Delhi,Delhi District 2,2021,Q2,Cholera,981,19,1.94,10,223,103,162,Primary Health Centre,69.7,74.2,Contained
Karnataka,Karnataka District 1,2019,Q3,COVID-19,6580,270,4.10,18,312,143,155,Primary Health Centre,79.0,63.3,Active
Gujarat,Gujarat District 8,2018,Q2,COVID-19,5820,288,4.95,52,1035,482,1427,District Hospital,67.4,54.6,Active
Rajasthan,Rajasthan District 3,2022,Q3,Tuberculosis,8411,213,2.53,26,547,168,427,Sub-Centre,67.2,42.5,Active
Tripura,Tripura District 7,2021,Q3,Kala-azar,5054,102,2.02,25,430,103,119,Urban PHC,60.3,49.8,Active
Delhi,Delhi District 8,2022,Q1,Diarrhoea,8287,179,2.16,35,472,53,107,Community Health Centre,72.8,59.8,Active
Arunachal Pradesh,Arunachal District 3,2019,Q1,Malaria,2986,109,3.65,50,1087,363,816,Sub-Centre,94.0,67.4,Active
Telangana,Telangana District 4,2021,Q2,Tuberculosis,4937,94,1.90,51,713,308,485,Urban PHC,78.9,62.6,Active
Maharashtra,Maharashtra District 1,2019,Q4,Cholera,6384,118,1.85,11,191,50,62,Sub-Centre,87.7,42.6,Contained
Himachal Pradesh,Himachal District 5,2018,Q3,Malaria,3153,84,2.66,36,646,213,303,District Hospital,82.2,55.6,Active
Sikkim,Sikkim District 1,2020,Q2,Malaria,4464,124,2.78,27,684,132,324,Urban PHC,82.2,44.6,Active
Uttarakhand,Uttarakhand District 5,2022,Q3,Diarrhoea,5609,207,3.69,45,892,371,830,Primary Health Centre,67.6,43.0,Contained
Uttar Pradesh,Uttar District 7,2023,Q1,Diarrhoea,7976,352,4.41,47,748,101,143,District Hospital,77.3,66.6,Contained
Manipur,Manipur District 4,2019,Q3,Hepatitis B,5089,85,1.67,28,311,68,81,Primary Health Centre,89.8,49.0,Active
Rajasthan,Rajasthan District 1,2018,Q2,Tuberculosis,7391,172,2.33,32,902,248,540,Community Health Centre,60.3,78.3,Active
Madhya Pradesh,Madhya District 1,2021,Q3,Dengue,7921,137,1.73,44,462,119,188,Urban PHC,62.9,54.8,Contained
Delhi,Delhi District 2,2018,Q1,Japanese Encephalitis,6832,295,4.32,36,567,103,290,District Hospital,64.8,58.4,Active
Bihar,Bihar District 7,2020,Q2,Chikungunya,1222,5,0.41,19,396,49,65,Primary Health Centre,66.1,61.0,Active
Goa,Goa District 1,2023,Q3,COVID-19,4285,31,0.72,36,847,288,517,Sub-Centre,61.7,60.2,Active
Karnataka,Karnataka District 6,2021,Q4,Dengue,8949,273,3.05,38,595,146,278,Sub-Centre,76.9,54.5,Contained
Assam,Assam District 2,2020,Q1,Malaria,7808,376,4.82,21,480,159,419,Urban PHC,85.6,54.5,Contained
Arunachal Pradesh,Arunachal District 1,2023,Q1,COVID-19,2791,137,4.91,27,724,290,427,Primary Health Centre,62.2,58.8,Active
Sikkim,Sikkim District 6,2023,Q2,Filariasis,3005,141,4.69,45,1150,507,1387,Sub-Centre,62.9,61.5,Active
Arunachal Pradesh,Arunachal District 8,2023,Q4,Kala-azar,458,3,0.66,50,1315,249,494,Sub-Centre,89.4,45.7,Active
Manipur,Manipur District 2,2018,Q4,Chikungunya,2649,77,2.91,32,924,150,445,Community Health Centre,93.8,64.9,Contained
Goa,Goa District 6,2020,Q4,Diarrhoea,355,16,4.51,39,907,158,466,Sub-Centre,81.4,50.7,Contained
Maharashtra,Maharashtra District 5,2023,Q3,Hepatitis B,556,12,2.16,41,468,103,167,Primary Health Centre,69.3,76.2,Contained
Nagaland,Nagaland District 6,2019,Q4,Hepatitis B,7239,5,0.07,33,391,69,111,Primary Health Centre,65.8,74.7,Contained
Uttarakhand,Uttarakhand District 5,2020,Q3,Filariasis,2319,30,1.29,45,1237,211,391,District Hospital,59.4,42.2,Active
Goa,Goa District 2,2022,Q4,Filariasis,8756,171,1.95,13,388,165,492,Community Health Centre,66.6,52.6,Contained
Maharashtra,Maharashtra District 1,2023,Q1,Tuberculosis,1039,45,4.33,38,840,299,710,Sub-Centre,70.0,69.1,Active
Delhi,Delhi District 8,2022,Q3,Typhoid,4626,154,3.33,52,784,169,256,District Hospital,78.2,62.9,Active
Karnataka,Karnataka District 1,2023,Q4,Dengue,2101,12,0.57,48,1023,396,1114,Sub-Centre,84.3,57.5,Active
Andhra Pradesh,Andhra District 6,2022,Q1,Japanese Encephalitis,7744,241,3.11,30,656,118,223,Primary Health Centre,63.4,78.8,Contained
Jharkhand,Jharkhand District 2,2018,Q1,Dengue,9038,451,4.99,49,546,212,515,Community Health Centre,76.1,45.3,Active
Manipur,Manipur District 5,2023,Q3,Chikungunya,2365,91,3.85,39,995,210,446,Primary Health Centre,92.7,68.0,Active
Arunachal Pradesh,Arunachal District 4,2018,Q4,Hepatitis B,6053,242,4.00,13,319,139,365,Primary Health Centre,66.4,48.3,Contained
Gujarat,Gujarat District 7,2018,Q2,Malaria,8094,247,3.05,44,1088,455,795,District Hospital,77.4,57.7,Active
Gujarat,Gujarat District 8,2019,Q2,Tuberculosis,2372,0,0.00,20,358,99,116,Community Health Centre,67.2,55.1,Contained
Telangana,Telangana District 6,2020,Q3,Chikungunya,2510,98,3.90,9,91,43,84,District Hospital,84.3,42.3,Contained
Ladakh,Ladakh District 3,2023,Q2,Typhoid,1681,45,2.68,50,1179,288,466,Urban PHC,79.2,66.7,Active
Ladakh,Ladakh District 5,2023,Q2,Japanese Encephalitis,4136,25,0.60,26,272,89,111,Sub-Centre,74.8,54.5,Active
Madhya Pradesh,Madhya District 4,2018,Q3,Diarrhoea,5166,239,4.63,35,563,66,108,District Hospital,57.4,46.3,Active
Jammu & Kashmir,Jammu District 6,2022,Q2,Dengue,8979,14,0.16,24,608,118,344,Urban PHC,87.6,61.9,Contained
Goa,Goa District 1,2022,Q3,Diarrhoea,8906,214,2.40,16,344,144,268,Urban PHC,58.0,57.0,Active
Puducherry,Puducherry District 3,2023,Q3,Leptospirosis,6909,306,4.43,9,217,57,97,District Hospital,59.3,71.0,Contained
Nagaland,Nagaland District 1,2022,Q1,Typhoid,6689,129,1.93,20,480,156,174,Community Health Centre,72.5,43.6,Contained
Delhi,Delhi District 8,2019,Q3,Pneumonia,612,1,0.16,5,97,12,29,District Hospital,68.4,69.9,Active
Arunachal Pradesh,Arunachal District 3,2020,Q3,Diarrhoea,2355,87,3.69,20,330,93,146,Sub-Centre,88.2,65.1,Active
Tripura,Tripura District 7,2018,Q4,Diarrhoea,1170,34,2.91,41,993,373,1020,Primary Health Centre,72.2,56.5,Active
Nagaland,Nagaland District 3,2019,Q3,Pneumonia,2879,4,0.14,54,1211,128,374,Urban PHC,75.7,51.9,Active
West Bengal,West District 2,2021,Q2,Dengue,8138,59,0.72,21,382,130,181,Community Health Centre,87.5,50.5,Contained
Puducherry,Puducherry District 4,2023,Q3,Kala-azar,6897,217,3.15,38,1019,274,457,Community Health Centre,59.1,45.4,Active
Gujarat,Gujarat District 1,2019,Q1,Kala-azar,1150,6,0.52,27,271,77,87,Community Health Centre,86.6,60.6,Active
Delhi,Delhi District 3,2019,Q4,Typhoid,5099,238,4.67,10,159,52,155,District Hospital,68.9,42.7,Active
Assam,Assam District 4,2018,Q4,Filariasis,6692,93,1.39,52,1296,643,1717,Community Health Centre,87.5,53.5,Contained
Madhya Pradesh,Madhya District 5,2018,Q4,Pneumonia,5974,258,4.32,9,166,18,32,Primary Health Centre,59.4,77.9,Contained
Rajasthan,Rajasthan District 3,2019,Q4,Dengue,3680,53,1.44,25,414,155,240,District Hospital,69.8,71.9,Active
Nagaland,Nagaland District 6,2018,Q4,COVID-19,8328,121,1.45,53,1370,573,1134,Urban PHC,81.1,57.3,Active
Karnataka,Karnataka District 7,2021,Q3,Diarrhoea,6688,197,2.95,47,1244,600,1607,Sub-Centre,80.4,43.1,Active
Meghalaya,Meghalaya District 1,2019,Q3,Kala-azar,3037,35,1.15,27,686,263,650,District Hospital,59.6,42.3,Active
Madhya Pradesh,Madhya District 6,2018,Q2,Malaria,7410,142,1.92,17,418,102,156,Urban PHC,92.1,59.2,Active
Madhya Pradesh,Madhya District 3,2022,Q2,Malaria,579,1,0.17,14,147,41,96,Sub-Centre,89.7,44.5,Active
Arunachal Pradesh,Arunachal District 6,2018,Q4,Malaria,2922,72,2.46,54,955,453,1038,Sub-Centre,62.2,41.2,Active
Uttar Pradesh,Uttar District 8,2019,Q2,Leptospirosis,3059,141,4.61,33,615,64,161,Community Health Centre,68.2,45.9,Active
Puducherry,Puducherry District 5,2022,Q1,Diarrhoea,2772,44,1.59,5,63,23,43,Sub-Centre,89.6,77.1,Active
West Bengal,West District 2,2019,Q1,Cholera,7450,50,0.67,15,301,83,183,District Hospital,86.9,44.1,Active
Haryana,Haryana District 4,2022,Q3,Cholera,3873,169,4.36,43,430,194,394,Community Health Centre,58.0,41.7,Active
Jammu & Kashmir,Jammu District 1,2018,Q2,Cholera,7862,350,4.45,24,571,249,645,Urban PHC,93.8,71.3,Active
Gujarat,Gujarat District 2,2019,Q3,Typhoid,3965,33,0.83,43,1146,177,281,Community Health Centre,76.4,46.1,Active
Rajasthan,Rajasthan District 8,2020,Q1,Japanese Encephalitis,4679,117,2.50,26,655,78,128,Urban PHC,58.7,60.8,Active
Puducherry,Puducherry District 2,2021,Q4,Hepatitis B,7550,58,0.77,53,1046,446,927,District Hospital,72.3,71.9,Active
Telangana,Telangana District 5,2020,Q1,Typhoid,5499,23,0.42,52,1000,112,118,Primary Health Centre,57.4,47.6,Contained
Haryana,Haryana District 6,2019,Q1,Cholera,2982,129,4.33,16,442,67,108,Sub-Centre,86.7,72.3,Contained
Sikkim,Sikkim District 7,2023,Q4,Typhoid,2277,40,1.76,31,348,86,252,District Hospital,77.7,49.3,Active
Delhi,Delhi District 1,2020,Q2,COVID-19,3404,100,2.94,54,1436,199,498,Community Health Centre,58.4,43.6,Active
Rajasthan,Rajasthan District 5,2018,Q4,Typhoid,1308,50,3.82,25,747,210,613,Primary Health Centre,69.5,51.3,Active
Tamil Nadu,Tamil District 3,2019,Q4,Japanese Encephalitis,2225,29,1.30,14,159,41,97,Community Health Centre,68.6,44.3,Active
Nagaland,Nagaland District 5,2020,Q2,Pneumonia,620,4,0.65,13,372,145,289,District Hospital,74.0,54.0,Active
Uttar Pradesh,Uttar District 6,2019,Q3,Hepatitis B,7231,67,0.93,33,721,218,275,Community Health Centre,67.0,49.9,Active
Mizoram,Mizoram District 4,2022,Q4,COVID-19,2681,128,4.77,20,471,228,671,Primary Health Centre,69.4,46.9,Active
Gujarat,Gujarat District 6,2021,Q2,COVID-19,5808,71,1.22,40,1090,496,1173,Sub-Centre,91.1,51.5,Active
Telangana,Telangana District 8,2018,Q4,Hepatitis B,7825,215,2.75,5,130,30,76,District Hospital,80.4,55.8,Contained
Goa,Goa District 6,2020,Q3,Diarrhoea,6162,227,3.68,48,884,112,186,Community Health Centre,69.8,71.4,Contained
Odisha,Odisha District 3,2020,Q4,Dengue,5731,125,2.18,26,435,143,347,Urban PHC,85.1,52.8,Active
Ladakh,Ladakh District 3,2022,Q2,Cholera,7263,131,1.80,37,886,408,607,Primary Health Centre,63.7,50.9,Active
Tamil Nadu,Tamil District 5,2021,Q2,Typhoid,1797,13,0.72,31,697,190,329,Community Health Centre,72.7,71.1,Active
Arunachal Pradesh,Arunachal District 7,2022,Q3,Diarrhoea,5354,43,0.80,21,291,135,375,District Hospital,82.2,69.5,Active
Meghalaya,Meghalaya District 6,2021,Q2,Leptospirosis,2747,129,4.70,38,1137,292,800,District Hospital,72.4,64.3,Contained
Karnataka,Karnataka District 2,2018,Q1,Typhoid,6188,133,2.15,47,833,116,254,District Hospital,89.4,60.4,Active
Gujarat,Gujarat District 6,2019,Q3,Diarrhoea,6889,279,4.05,35,834,322,585,Community Health Centre,91.8,45.8,Active
Haryana,Haryana District 6,2021,Q1,Leptospirosis,5673,278,4.90,51,817,219,230,District Hospital,61.9,61.4,Contained
Ladakh,Ladakh District 5,2020,Q2,Japanese Encephalitis,5491,200,3.64,16,395,183,299,Community Health Centre,77.8,79.0,Active
Uttarakhand,Uttarakhand District 7,2023,Q1,Chikungunya,483,2,0.41,29,700,304,415,Community Health Centre,69.0,60.4,Active
Assam,Assam District 4,2022,Q3,Cholera,4953,161,3.25,13,295,83,184,Sub-Centre,92.4,76.9,Active
Jammu & Kashmir,Jammu District 3,2018,Q3,Cholera,8800,227,2.58,16,320,74,150,Primary Health Centre,74.7,71.4,Active
Ladakh,Ladakh District 5,2021,Q3,Tuberculosis,531,6,1.13,26,341,94,100,Primary Health Centre,64.1,78.2,Active
Telangana,Telangana District 5,2020,Q4,Hepatitis B,6945,18,0.26,11,184,76,102,Urban PHC,59.9,62.6,Contained
Andhra Pradesh,Andhra District 3,2021,Q3,Leptospirosis,560,22,3.93,47,959,134,351,Community Health Centre,72.2,76.1,Contained
Rajasthan,Rajasthan District 3,2020,Q4,Filariasis,1802,1,0.06,38,688,194,386,District Hospital,92.9,50.5,Active
Chandigarh,Chandigarh District 6,2019,Q4,Leptospirosis,826,0,0.00,41,1007,452,684,Primary Health Centre,64.0,65.2,Active
Arunachal Pradesh,Arunachal District 7,2022,Q1,Leptospirosis,8789,438,4.98,36,375,141,296,Community Health Centre,57.1,46.0,Active
Uttarakhand,Uttarakhand District 1,2021,Q1,COVID-19,7193,195,2.71,6,101,49,136,Primary Health Centre,55.1,51.5,Contained
Chhattisgarh,Chhattisgarh District 1,2018,Q3,Malaria,2168,45,2.08,15,327,104,301,District Hospital,57.2,64.5,Active
West Bengal,West District 4,2020,Q3,COVID-19,6725,195,2.90,18,288,52,77,Community Health Centre,79.2,61.0,Active
Goa,Goa District 2,2020,Q3,Tuberculosis,6801,74,1.09,35,1048,254,572,Sub-Centre,84.2,73.4,Active
Puducherry,Puducherry District 4,2023,Q4,Japanese Encephalitis,1544,30,1.94,15,181,86,167,District Hospital,60.3,40.4,Active
Maharashtra,Maharashtra District 7,2020,Q3,Malaria,4738,46,0.97,25,451,223,448,District Hospital,62.7,51.1,Active
Manipur,Manipur District 6,2023,Q2,COVID-19,1731,55,3.18,42,1099,196,435,District Hospital,80.6,64.8,Active
Bihar,Bihar District 7,2019,Q1,Diarrhoea,4553,142,3.12,53,957,223,286,District Hospital,69.8,78.7,Active
Bihar,Bihar District 5,2021,Q2,Malaria,3093,18,0.58,31,881,194,467,District Hospital,82.2,62.5,Active
Telangana,Telangana District 5,2022,Q2,Hepatitis B,3049,123,4.03,31,671,139,182,Urban PHC,70.9,65.5,Active
Odisha,Odisha District 7,2019,Q2,Pneumonia,8979,230,2.56,14,260,99,99,Sub-Centre,90.8,44.9,Active
Rajasthan,Rajasthan District 4,2022,Q2,Chikungunya,5212,96,1.84,46,976,199,522,Sub-Centre,55.8,56.6,Contained
Himachal Pradesh,Himachal District 8,2022,Q3,Diarrhoea,6251,57,0.91,32,714,353,913,Urban PHC,63.5,65.0,Active
Assam,Assam District 1,2023,Q3,Pneumonia,3840,34,0.89,5,66,32,47,Primary Health Centre,57.9,56.8,Contained
Jharkhand,Jharkhand District 3,2018,Q4,Kala-azar,4072,67,1.65,54,1579,374,429,Sub-Centre,80.4,68.3,Active
Himachal Pradesh,Himachal District 8,2023,Q1,COVID-19,2962,114,3.85,22,347,120,260,District Hospital,68.2,63.0,Contained
Tamil Nadu,Tamil District 8,2019,Q3,Leptospirosis,2739,108,3.94,54,1481,276,659,Primary Health Centre,92.7,51.9,Active
Chandigarh,Chandigarh District 4,2019,Q2,Dengue,5833,89,1.53,43,1086,291,454,Community Health Centre,93.3,77.0,Active
Telangana,Telangana District 7,2023,Q3,Hepatitis B,1532,2,0.13,49,881,284,732,Primary Health Centre,93.0,41.0,Active
Kerala,Kerala District 6,2018,Q1,Pneumonia,3369,130,3.86,47,532,244,577,Community Health Centre,87.9,52.2,Active
Meghalaya,Meghalaya District 6,2018,Q3,Malaria,4784,63,1.32,54,760,242,457,Sub-Centre,72.4,56.6,Contained
Meghalaya,Meghalaya District 3,2023,Q3,Malaria,565,3,0.53,36,726,250,737,Community Health Centre,82.2,47.9,Active
Bihar,Bihar District 5,2020,Q2,Leptospirosis,5468,12,0.22,20,306,40,84,Community Health Centre,59.0,58.4,Active
Puducherry,Puducherry District 2,2022,Q2,Typhoid,1174,0,0.00,12,139,29,78,District Hospital,86.4,73.3,Active
Meghalaya,Meghalaya District 4,2019,Q1,Diarrhoea,8028,398,4.96,25,727,223,308,Sub-Centre,91.2,57.6,Active
Uttar Pradesh,Uttar District 3,2023,Q1,Cholera,1627,11,0.68,6,124,12,18,Primary Health Centre,93.6,71.3,Active
Uttar Pradesh,Uttar District 3,2019,Q4,Tuberculosis,4885,59,1.21,48,1434,676,1645,Primary Health Centre,93.4,62.3,Active
Haryana,Haryana District 8,2018,Q2,Filariasis,188,4,2.13,53,1125,411,488,Urban PHC,84.2,45.3,Active
Chhattisgarh,Chhattisgarh District 8,2023,Q2,Chikungunya,7873,375,4.76,51,1301,560,748,Sub-Centre,66.7,57.6,Active
Odisha,Odisha District 1,2019,Q1,Kala-azar,336,13,3.87,11,112,20,29,District Hospital,83.0,65.4,Active
Maharashtra,Maharashtra District 2,2021,Q2,Hepatitis B,7155,250,3.49,39,1156,237,427,Primary Health Centre,89.4,41.0,Active
Nagaland,Nagaland District 4,2023,Q3,Dengue,5372,258,4.80,20,415,89,139,Primary Health Centre,70.6,42.2,Active
Rajasthan,Rajasthan District 3,2021,Q4,Hepatitis B,8651,347,4.01,48,1281,434,929,Urban PHC,59.3,69.7,Active
Kerala,Kerala District 2,2018,Q3,Malaria,3979,146,3.67,42,597,280,558,Urban PHC,75.4,42.1,Active
Mizoram,Mizoram District 6,2022,Q1,Hepatitis B,3571,168,4.70,32,341,112,223,District Hospital,86.1,78.4,Active
Odisha,Odisha District 1,2023,Q3,Chikungunya,7436,327,4.40,18,239,92,139,Sub-Centre,69.3,49.2,Active
Odisha,Odisha District 4,2020,Q4,Malaria,6637,30,0.45,49,967,189,429,District Hospital,88.1,60.2,Contained
West Bengal,West District 2,2020,Q3,Cholera,5624,230,4.09,46,1052,457,1272,Community Health Centre,69.5,72.8,Active
Uttarakhand,Uttarakhand District 5,2021,Q2,Pneumonia,3161,29,0.92,11,323,80,102,Sub-Centre,89.1,45.8,Active
Odisha,Odisha District 1,2022,Q2,Leptospirosis,8192,106,1.29,23,320,81,112,Community Health Centre,67.2,67.5,Active
Mizoram,Mizoram District 3,2023,Q4,Diarrhoea,7436,0,0.00,41,786,349,976,Sub-Centre,66.3,63.7,Active
Odisha,Odisha District 8,2020,Q1,Pneumonia,4943,216,4.37,45,1342,374,436,Primary Health Centre,90.1,44.8,Active
Goa,Goa District 1,2020,Q1,Tuberculosis,1849,50,2.70,47,970,204,426,Sub-Centre,92.3,53.4,Active
Jammu & Kashmir,Jammu District 8,2022,Q3,Japanese Encephalitis,8463,322,3.80,18,363,58,173,Sub-Centre,66.9,67.5,Contained
Chandigarh,Chandigarh District 5,2019,Q2,COVID-19,7315,317,4.33,39,1034,511,694,District Hospital,91.4,76.7,Active
Madhya Pradesh,Madhya District 3,2018,Q4,Hepatitis B,3861,6,0.16,30,443,47,54,Sub-Centre,70.2,53.4,Active
Karnataka,Karnataka District 4,2022,Q3,Diarrhoea,4336,174,4.01,49,620,164,207,District Hospital,70.9,47.0,Contained
Tripura,Tripura District 3,2020,Q2,Typhoid,4621,220,4.76,27,474,181,373,Primary Health Centre,73.2,45.3,Contained
Chhattisgarh,Chhattisgarh District 4,2023,Q3,Leptospirosis,6912,100,1.45,37,561,240,493,Primary Health Centre,86.4,61.5,Active
Madhya Pradesh,Madhya District 2,2021,Q2,Pneumonia,4267,199,4.66,14,353,74,197,Community Health Centre,79.2,44.0,Contained
Sikkim,Sikkim District 4,2019,Q2,Chikungunya,4974,230,4.62,17,219,75,105,Community Health Centre,82.3,77.1,Active
Mizoram,Mizoram District 2,2022,Q2,Chikungunya,8949,383,4.28,10,186,43,93,Community Health Centre,71.9,71.0,Contained
Chandigarh,Chandigarh District 5,2020,Q4,Kala-azar,1882,42,2.23,51,1477,256,593,District Hospital,56.7,66.0,Active
Nagaland,Nagaland District 4,2021,Q3,Diarrhoea,3372,158,4.69,54,1210,407,1148,Sub-Centre,67.8,74.0,Active
Punjab,Punjab District 1,2020,Q2,Pneumonia,2740,131,4.78,24,363,113,326,Urban PHC,69.7,50.2,Active
Maharashtra,Maharashtra District 6,2021,Q2,Japanese Encephalitis,540,7,1.30,46,806,135,365,Sub-Centre,55.2,66.4,Active
Odisha,Odisha District 8,2023,Q3,Pneumonia,3467,71,2.05,49,1398,232,538,Sub-Centre,55.1,73.5,Contained
Chandigarh,Chandigarh District 6,2021,Q1,Cholera,5554,135,2.43,16,364,134,295,Urban PHC,64.5,53.7,Active
Sikkim,Sikkim District 8,2018,Q1,Pneumonia,1709,78,4.56,10,105,35,74,Primary Health Centre,76.8,67.5,Active
Bihar,Bihar District 3,2019,Q2,COVID-19,5852,227,3.88,21,430,198,316,Primary Health Centre,75.4,61.9,Active
Himachal Pradesh,Himachal District 2,2023,Q4,Leptospirosis,7553,117,1.55,39,1109,483,1115,District Hospital,76.2,74.5,Active
Karnataka,Karnataka District 1,2021,Q4,Malaria,1537,34,2.21,17,274,123,233,Sub-Centre,58.9,67.7,Active
Jammu & Kashmir,Jammu District 1,2020,Q4,Hepatitis B,2088,68,3.26,14,155,50,124,Community Health Centre,75.1,69.4,Active
Kerala,Kerala District 4,2020,Q3,Leptospirosis,5066,161,3.18,11,294,115,220,Community Health Centre,59.7,76.1,Active
Meghalaya,Meghalaya District 4,2018,Q4,Pneumonia,6029,174,2.89,32,852,180,262,Sub-Centre,72.0,72.2,Active
Sikkim,Sikkim District 3,2020,Q4,Malaria,3447,73,2.12,31,536,265,723,Urban PHC,68.5,53.5,Contained
Gujarat,Gujarat District 2,2023,Q2,COVID-19,5917,6,0.10,17,318,79,236,Urban PHC,71.4,46.8,Contained
Telangana,Telangana District 5,2020,Q2,Hepatitis B,1464,60,4.10,18,331,163,456,District Hospital,93.0,46.5,Active
Jammu & Kashmir,Jammu District 1,2020,Q1,Typhoid,238,8,3.36,10,220,24,67,Urban PHC,87.2,67.7,Active
West Bengal,West District 4,2021,Q1,Malaria,8616,420,4.87,51,1170,513,849,District Hospital,85.5,72.3,Active
Puducherry,Puducherry District 6,2019,Q3,Japanese Encephalitis,8338,34,0.41,38,663,318,593,Community Health Centre,61.5,47.6,Contained
Puducherry,Puducherry District 4,2022,Q4,Chikungunya,4411,139,3.15,41,728,236,291,Sub-Centre,57.4,61.6,Active
Punjab,Punjab District 1,2018,Q3,Japanese Encephalitis,4684,95,2.03,19,336,129,143,Urban PHC,78.9,75.8,Active
Jharkhand,Jharkhand District 3,2021,Q1,COVID-19,3585,132,3.68,21,337,152,261,Sub-Centre,55.8,75.0,Active
Madhya Pradesh,Madhya District 8,2022,Q3,Dengue,593,19,3.20,45,1243,379,411,Sub-Centre,61.2,43.4,Active
Rajasthan,Rajasthan District 7,2022,Q3,Chikungunya,8784,168,1.91,23,452,91,106,Community Health Centre,92.9,78.5,Contained
Mizoram,Mizoram District 5,2023,Q1,Tuberculosis,5747,218,3.79,10,145,40,108,Community Health Centre,70.4,77.4,Active
Odisha,Odisha District 6,2019,Q3,Hepatitis B,3439,49,1.42,50,792,197,275,Urban PHC,56.0,74.0,Active
Nagaland,Nagaland District 7,2021,Q1,Diarrhoea,5696,170,2.98,27,491,207,534,Community Health Centre,69.1,69.6,Contained
Chhattisgarh,Chhattisgarh District 8,2018,Q2,Kala-azar,2795,81,2.90,44,716,139,211,Primary Health Centre,81.2,45.8,Active
Assam,Assam District 8,2023,Q2,COVID-19,3502,95,2.71,23,463,136,232,District Hospital,74.4,42.1,Active
Assam,Assam District 2,2018,Q4,Japanese Encephalitis,7330,285,3.89,42,840,162,461,Urban PHC,79.9,75.0,Active
Nagaland,Nagaland District 8,2022,Q1,COVID-19,6256,57,0.91,22,594,253,548,Sub-Centre,76.3,48.8,Contained
Puducherry,Puducherry District 3,2022,Q2,COVID-19,7552,122,1.62,54,1554,491,1302,District Hospital,64.1,62.4,Contained
West Bengal,West District 3,2022,Q2,Typhoid,2150,48,2.23,13,337,66,83,Primary Health Centre,67.5,48.6,Active
Mizoram,Mizoram District 3,2022,Q4,Dengue,505,3,0.59,34,847,282,426,Urban PHC,59.3,42.8,Active
Jammu & Kashmir,Jammu District 5,2020,Q3,Hepatitis B,7530,309,4.10,21,336,59,138,Primary Health Centre,84.2,41.3,Active
Madhya Pradesh,Madhya District 6,2020,Q3,Chikungunya,6491,67,1.03,34,478,226,576,Sub-Centre,56.8,71.5,Active
Nagaland,Nagaland District 2,2023,Q2,Cholera,295,2,0.68,40,442,166,211,Sub-Centre,66.4,68.8,Contained
Chhattisgarh,Chhattisgarh District 3,2018,Q1,Filariasis,3822,159,4.16,49,1161,321,804,Urban PHC,56.5,72.2,Contained
Mizoram,Mizoram District 6,2023,Q2,Leptospirosis,7015,61,0.87,51,1413,149,185,District Hospital,82.1,72.7,Contained
Himachal Pradesh,Himachal District 6,2020,Q4,Kala-azar,1960,11,0.56,34,407,188,448,Primary Health Centre,66.1,74.3,Active
